geo,hydro_power_generation_per_person,time
cub,0.00052,2005
cub,0.00072,2006
cub,0.00092,2007
cub,0.00105,2008
cub,0.00115,2009
cub,0.00074,2010
cze,0.01058,1971
cze,0.01103,1972
cze,0.00939,1973
cze,0.01573,1974
cze,0.01561,1975
cze,0.01237,1976
cze,0.01673,1977
cze,0.01547,1978
cze,0.01929,1979
cze,0.0201,1980
cze,0.01723,1981
cze,0.01394,1982
cze,0.01381,1983
cze,0.01083,1984
cze,0.01395,1985
cze,0.01566,1986
cze,0.02058,1987
cze,0.01752,1988
cze,0.01372,1989
cze,0.00969,1990
cze,0.00908,1991
cze,0.01169,1992
cze,0.01141,1993
cze,0.01216,1994
cze,0.01668,1995
cze,0.01642,1996
cze,0.01419,1997
cze,0.01168,1998
cze,0.01409,1999
cze,0.01476,2000
cze,0.01727,2001
cze,0.02099,2002
cze,0.01166,2003
cze,0.01702,2004
cze,0.02002,2005
cze,0.02137,2006
cze,0.01742,2007
cze,0.01677,2008
cze,0.02001,2009
cze,0.02285,2010
cze,0.01745,2011
dnk,0.00047,1960
dnk,0.00048,1961
dnk,0.00048,1962
dnk,0.00046,1963
dnk,0.00046,1964
dnk,0.00045,1965
dnk,0.00047,1966
dnk,0.00045,1967
dnk,0.00037,1968
dnk,0.00039,1969
dnk,0.00042,1970
dnk,0.00042,1971
dnk,0.00041,1972
dnk,0.00041,1973
dnk,0.00041,1974
dnk,0.00041,1975
dnk,0.00041,1976
dnk,0.00037,1977
dnk,0.00039,1978
dnk,0.00042,1979
dnk,0.0005,1980
dnk,0.00055,1981
dnk,0.00052,1982
dnk,0.00057,1983
dnk,0.0005,1984
dnk,0.0005,1985
dnk,0.00049,1986
dnk,0.00049,1987
dnk,0.00055,1988
dnk,0.00039,1989
dnk,0.00047,1990
dnk,0.00042,1991
dnk,0.00047,1992
dnk,0.00046,1993
dnk,0.00054,1994
dnk,0.00049,1995
dnk,0.00031,1996
dnk,0.00031,1997
dnk,0.00044,1998
dnk,0.0005,1999
dnk,0.00048,2000
dnk,0.00045,2001
dnk,0.00051,2002
dnk,0.00034,2003
dnk,0.00043,2004
dnk,0.00036,2005
dnk,0.00036,2006
dnk,0.00044,2007
dnk,0.00041,2008
dnk,0.0003,2009
dnk,0.00033,2010
dnk,0.00026,2011
dom,0.00994,1971
dom,0.0104,1972
dom,0.00932,1973
dom,0.0086,1974
dom,0.00713,1975
dom,0.01273,1976
dom,0.00726,1977
dom,0.01157,1978
dom,0.01257,1979
dom,0.00828,1980
dom,0.01983,1981
dom,0.01188,1982
dom,0.01303,1983
dom,0.01563,1984
dom,0.01517,1985
dom,0.01799,1986
dom,0.01951,1987
dom,0.02054,1988
dom,0.00578,1989
dom,0.00417,1990
dom,0.00594,1991
dom,0.00612,1992
dom,0.01272,1993
dom,0.0059,1994
dom,0.00656,1995
dom,0.00921,1996
dom,0.00698,1997
dom,0.00757,1998
dom,0.01117,1999
dom,0.00763,2000
dom,0.00686,2001
dom,0.00845,2002
dom,0.0114,2003
dom,0.01507,2004
dom,0.01771,2005
dom,0.01601,2006
dom,0.01534,2007
dom,0.01231,2008
dom,0.01485,2009
dom,0.01553,2010
ecu,0.00615,1971
ecu,0.00604,1972
ecu,0.00574,1973
ecu,0.00641,1974
ecu,0.00782,1975
ecu,0.00732,1976
ecu,0.00656,1977
ecu,0.00904,1978
ecu,0.00788,1979
ecu,0.00942,1980
ecu,0.00819,1981
ecu,0.00916,1982
ecu,0.01715,1983
ecu,0.03138,1984
ecu,0.03101,1985
ecu,0.037,1986
ecu,0.04111,1987
ecu,0.04237,1988
ecu,0.04248,1989
ecu,0.04179,1990
ecu,0.04158,1991
ecu,0.03988,1992
ecu,0.04561,1993
ecu,0.05052,1994
ecu,0.03898,1995
ecu,0.04709,1996
ecu,0.04772,1997
ecu,0.04678,1998
ecu,0.0508,1999
ecu,0.053,2000
ecu,0.04844,2001
ecu,0.05068,2002
ecu,0.04754,2003
ecu,0.04825,2004
ecu,0.04408,2005
ecu,0.04495,2006
ecu,0.05611,2007
ecu,0.06908,2008
ecu,0.0556,2009
ecu,0.05134,2010
egy,0.01179,1971
egy,0.0118,1972
egy,0.01154,1973
egy,0.01341,1974
egy,0.01455,1975
egy,0.01677,1976
egy,0.01852,1977
egy,0.01867,1978
egy,0.01862,1979
egy,0.01875,1980
egy,0.01908,1981
egy,0.01911,1982
egy,0.01748,1983
egy,0.01675,1984
egy,0.0147,1985
egy,0.01538,1986
egy,0.014,1987
egy,0.01422,1988
egy,0.01541,1989
egy,0.01502,1990
egy,0.01469,1991
egy,0.01414,1992
egy,0.01502,1993
egy,0.01546,1994
egy,0.01581,1995
egy,0.01574,1996
egy,0.01605,1997
egy,0.01609,1998
egy,0.01897,1999
egy,0.01741,2000
egy,0.01888,2001
egy,0.01576,2002
egy,0.01566,2003
egy,0.01492,2004
egy,0.01465,2005
egy,0.01471,2006
egy,0.01733,2007
egy,0.01612,2008
egy,0.01387,2009
egy,0.01383,2010
slv,0.0117,1971
slv,0.00965,1972
slv,0.01048,1973
slv,0.01168,1974
slv,0.00581,1975
slv,0.0039,1976
slv,0.00801,1977
slv,0.01273,1978
slv,0.01936,1979
slv,0.01747,1980
slv,0.00993,1981
slv,0.0081,1982
slv,0.01419,1983
slv,0.01515,1984
slv,0.02015,1985
slv,0.02092,1986
slv,0.01903,1987
slv,0.02157,1988
slv,0.0233,1989
slv,0.02657,1990
slv,0.02014,1991
slv,0.02214,1992
slv,0.02337,1993
slv,0.02198,1994
slv,0.02206,1995
slv,0.02796,1996
